Title,Price,Location,Date
Flipper 630 dc,209 900 kr,Piteå,18 juli
"Sting 530S -20, 75 hk DSL E-Tec Evinrude, m. 80-trailer",210 000 kr,Piteå,23 juli
Silver Hawk,210 000 kr,Luleå,1 juni
Bayliner 185BR 2015,215 000 kr,Luleå,9 juni
Bella 620dc,220 000 kr,Luleå,21 juni
Flipper 717 C,225 000 kr,Piteå,23 juli
"Bella 621 DC 2008, Mercury 125hk 2010",225 000 kr,Luleå,15 juli
”Stora Cabin-Kvarken” 1966 / Volvo Penta D1-30F 2011,225 000 kr,Haparanda,28 juni
Bella Falcon by Renato Molinari,225 000 kr,Luleå,27 juni
yamarin 6420,230 000 kr,Luleå,I onsdags
Yamarin 59cc -08,230 000 kr,Piteå,12 juli
Yamarin 50BR Premium Edition Ny 2023,239 500 kr,Boden,15 juli
Olympic 580 C  WA  trollingutrustad med trailer,240 000 kr,Piteå,24 juli
Bella 620DC m trailer Respo,240 000 kr,Piteå,22 juli
Flipper 760 säljes eller bytes mot Bella 512 exel,240 000 kr,Kalix,10 juli
nordval br 5,240 000 kr,Boden,1 juni
Yamarin 59C,245 000 kr,Luleå,1 juni
silver shark,260 000 kr,Piteå,15 juni
Mv-marin 6600 FC Optimax 135,265 000 kr,Kalix,21 juli
Bella 600 Twin Bowrider.,265 000 kr,Luleå,5 juli
Seastar 660,269 000 kr,Luleå,23 juli
Apollo 32 TAMD70D,270 000 kr,Kalix,28 juli
Sting 610 S 115HO e-tec,270 000 kr,Piteå,12 juli
Flipper 630 OC Verado 135,270 000 kr,Piteå,6 juni
Buster XL,275 000 kr,Luleå,28 juli
"Buster Magnum, Yamaha 225 - 04",275 000 kr,Luleå,6 juli
Sunrunner Ultra 302,289 000 kr,Haparanda,15 juli
Ryds 20 DCI,290 000 kr,Luleå,15 juli
Micore 57 SC   Honda 150 dbw,299 000 kr,Piteå,24 juli
"Scarab 30"" kompressormatad",299 000 kr,Piteå,15 juli
Formula 292 SR-1 nya motorer 383 stroker,299 000 kr,Kalix,27 juni
Yamarin 62cc,299 000 kr,Kalix,7 juni
Faster 560 SC 2018,315 000 kr,Piteå,29 juli
Utter D68-2008,315 000 kr,Luleå,18 juli
Draco 2700,320 000 kr,Piteå,28 juli
Sea Ray 260 Overnighter -99.,330 000 kr,Luleå,28 juli
Yamarin Cross 63 BR,330 000 kr,Piteå,19 juli
GRANDEZZA DC 23,350 000 kr,Haparanda,12 juli
Buster XL Yamaha F130 2018,350 000 kr,Piteå,9 juli
Yamarin Cross 64 BR årsmodell 2015,359 000 kr,Luleå,15 juni
Flipper 705 HT årsmodell 2008,365 000 kr,Luleå,22 juli
Yamarin 68C,380 000 kr,Piteå,28 juli
TG 7200 King Cruiser 2008,385 000 kr,Haparanda,12 juli
Sunseeker 33,390 000 kr,Piteå,30 juli
Finnmaster 62 Dc  -17,390 000 kr,Kalix,23 juni
Maxum 2700-SCR 2001,395 000 kr,Piteå,2 juni
Bayliner 2858 flybridge -00,400 000 kr,Kalix,28 juli
Finnmaster 62 dc ink båttrailer,400 000 kr,Piteå,27 juni
Uttern T59 med Mercury 115 hk  -2021,405 000 kr,Piteå,29 juli
Nordkapp 605 Avant Evinrude G2 150 H.O.  2019 FINANSIERING,410 000 kr,Kalix,27 juni
"Yamarin BR Cross 64 Byte mot Buster LX, X eller XL",410 000 kr,Luleå,2 juni
Bayliner 285 -2005,430 000 kr,Haparanda,1 juli
Ryds 23 dc 2010,449 000 kr,Luleå,4 juli
Finnmaster Husky R7 200hk + 80 vagn,475 000 kr,Luleå,16 juli
Regal 2665 - 07,479 000 kr,Luleå,28 juni
Yamarin 76 dc 2008 sista chansen,489 000 kr,Luleå,I onsdags
Princess 385 1987,549 000 kr,Luleå,23 juli
Nimbus 3400 Europa -89,550 000 kr,Haparanda,24 juni
Silver Tiger BRz / Honda BF150,589 000 kr,Luleå,27 juli
TG 6.9 X Mercury 150,620 000 kr,Luleå,25 juli
Falcon BR8,720 000 kr,Luleå,26 juni
Targa 25.1,915 000 kr,Luleå,30 juli
Finnmaster T8 Yamahaa F300-2019,965 000 kr,Kalix,19 juli
Fairline Targa 34 - 2001 KAD44EDC,1 095 000 kr,Luleå,Igår 07:56
Grandezza 31OC,1 095 000 kr,Luleå,3 juli
Fairline Targa 37,1 295 000 kr,Luleå,16 juni
Ms Boat CWA800WT,1 350 000 kr,Boden,16 juli
Bavaria 37 HT 2008,1 620 000 kr,Piteå,27 juli
Anytec A27C / Mercury 300-V8,1 820 000 kr,Luleå,17 juli
Princess V45 2011 uttagen 2013,3 650 000 kr,Haparanda,12 juli
Nord West 430 ST 2012 #16,4 295 000 kr,Piteå,Igår 16:29
